Sz,Container,TimeNs
150,Vec,61.7231
150,Map,285.34
151,Vec,46.3134
151,Map,203.404
152,Vec,39.9159
152,Map,203.541
153,Vec,39.8999
153,Map,207.167
154,Vec,51.0545
154,Map,307.844
155,Vec,70.0767
155,Map,334.952
156,Vec,44.2023
156,Map,215.28
157,Vec,46.8925
157,Map,207.176
158,Vec,40.414
158,Map,205.22
159,Vec,60.3706
159,Map,328.17
160,Vec,59.3192
160,Map,308.559
161,Vec,63.3897
161,Map,226.971
162,Vec,54.9833
162,Map,205.772
163,Vec,52.8544
163,Map,220.961
164,Vec,91.4783
164,Map,267.94
165,Vec,77.3485
165,Map,287.543
166,Vec,61.1978
166,Map,206.98
167,Vec,52.2796
167,Map,189.771
168,Vec,53.6509
168,Map,190.136
169,Vec,57.8632
169,Map,244.792
170,Vec,71.3789
170,Map,354.155
171,Vec,95.3462
171,Map,247.919
172,Vec,58.2559
172,Map,208.163
173,Vec,53.3064
173,Map,190.079
174,Vec,64.7973
174,Map,274.954
175,Vec,80.8287
175,Map,291.392
176,Vec,66.9685
176,Map,207.7
177,Vec,53.4295
177,Map,190.448
178,Vec,50.4996
178,Map,189.678
179,Vec,49.6596
179,Map,225.575
180,Vec,69.2467
180,Map,275.646
181,Vec,67.5313
181,Map,267.887
182,Vec,59.4276
182,Map,209.383
183,Vec,56.2243
183,Map,219.481
184,Vec,63.717
184,Map,205.908
185,Vec,69.5725
185,Map,279.58
186,Vec,76.2958
186,Map,282.223
187,Vec,60.6899
187,Map,305.78
188,Vec,86.1926
188,Map,244.788
189,Vec,51.729
189,Map,235.705
190,Vec,71.7264
190,Map,269.593
191,Vec,73.3882
191,Map,244.921
192,Vec,58.3494
192,Map,209.284
193,Vec,48.5501
193,Map,194.852
194,Vec,51.7515
194,Map,189.035
195,Vec,47.5519
195,Map,215.744
196,Vec,80.5085
196,Map,300.371
197,Vec,69.785
197,Map,279.499
198,Vec,62.0337
198,Map,211.185
199,Vec,50.4574
199,Map,192.793
200,Vec,49.0394
200,Map,190.107
